"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"33",1.88485181947109e-34,0.748401082593062,0.188,0.471,1.70183270780045e-30,"1","ARHGEF1",22.2792140451556
"34",6.43635554106738e-42,0.591231965434237,0.16,0.443,5.81138541802974e-38,"1","ROCK1",22.0149481095533
"35",8.28108742045607e-34,0.755293138802449,0.115,0.324,7.47699383192978e-30,"1","DNAJB14",21.9988741388836
"36",2.78582237109292e-32,0.794183381829746,0.185,0.457,2.51531901885979e-28,"1","EPC1",21.918990328495
"37",3.45034525979032e-35,0.716348261370236,0.109,0.32,3.11531673506468e-31,"1","ERBIN",21.8532766537417
"38",5.73266996739361e-33,0.770343388478665,0.104,0.301,5.17602771355969e-29,"1","ATP1A1",21.7899357110887
"39",5.6011133620643e-37,0.67420804290242,0.168,0.44,5.05724525460786e-33,"1","DDX39B",21.7742809249812
"40",2.87933963131951e-37,0.664020794524452,0.133,0.373,2.59975575311838e-33,"1","STK10",21.6371623791435
"41",3.10052432532297e-41,0.585956870348105,0.168,0.456,2.79946341333411e-37,"1","RBMX",21.4184376546046
"42",3.06215811763413e-39,0.618319387086598,0.112,0.34,2.76482256441186e-35,"1","YME1L1",21.3680871153165
"43",1.4138818814394e-35,0.691525164458665,0.102,0.306,1.27659395075164e-31,"1","CARD8",21.3639419305958
"44",7.23704501963706e-40,0.601201653571764,0.157,0.429,6.5343279482303e-36,"1","TAF1D",21.1531593831081
"45",8.98007030970442e-33,0.751310794207942,0.104,0.3,8.10810548263212e-29,"1","SMARCA2",21.1051320832402
"46",1.10320223625885e-35,0.677336551566328,0.102,0.307,9.96081299118113e-32,"1","CCM2",20.9985881019652
"47",1.86251003596539e-39,0.596785583536954,0.174,0.46,1.68166031147315e-35,"1","NCOR1",20.752778075856
"48",5.18291171393319e-35,0.683801600223434,0.128,0.354,4.67965098651027e-31,"1","RSF1",20.7395565676669
"49",4.84468941833318e-35,0.682955334701751,0.162,0.419,4.37427007581303e-31,"1","SRSF10",20.7339054814949
"50",9.60417816500671e-39,0.608348874411091,0.108,0.331,8.67161246518455e-35,"1","EWSR1",20.7215186098729
