"","mean","variance","variance.expected","variance.standardized","gene","rank","features","num_cells_expressed"
"PGGT1B",0.119972849143051,0.149724914401878,0.146677876563497,1.02077367023418,"PGGT1B",1907,"No",603
"ZDHHC17",0.0865433565246903,0.10588304279912,0.103732468252407,1.02073193266238,"ZDHHC17",1908,"No",445
"IDH1",0.0459867639572374,0.0544021702253205,0.0532975845884818,1.02072487234398,"IDH1",1909,"No",242
"ZNF33A",0.222806719837095,0.298787300891696,0.292745089459341,1.02063983871947,"ZNF33A",1910,"No",1039
"SPG11",0.187510605803496,0.243686486861361,0.238760423995609,1.02063182324488,"SPG11",1911,"No",898
"TSPYL1",0.237400305447141,0.321262215322377,0.314784419835074,1.02057851367198,"TSPYL1",1912,"No",1093
"EIF4G1",0.180553198710334,0.232839680341515,0.228159752959339,1.02051162539175,"EIF4G1",1913,"No",866
"NUDT3",0.126930256236212,0.159038725107825,0.155842527320146,1.02050915011866,"NUDT3",1914,"No",631
"YPEL2",0.0916341422026133,0.112443578277426,0.110188168169503,1.02046871406786,"YPEL2",1915,"No",471
"PRNP",0.178177498727304,0.229279298427754,0.224681026294231,1.02046577857226,"PRNP",1916,"No",862
"TUBA1C",0.0765314780247752,0.0927502212170445,0.0908981447866035,1.02037529406997,"TUBA1C",1917,"No",401
"HELLS",0.0580349567283217,0.0689327978273782,0.0675578131296854,1.02035271175895,"HELLS",1918,"No",302
"PATJ",0.123027320549805,0.153734757739543,0.150693153869042,1.02018408794566,"PATJ",1919,"No",615
"GBP2",0.442049889699644,0.696446034849369,0.682712247459773,1.02011650946748,"GBP2",1920,"No",1769
"PURA",0.274393348040048,0.380398159575563,0.372903925630253,1.02009695642826,"PURA",1921,"No",1231
"CA11",0.0312234854912608,0.0363636929174487,0.0356513264883098,1.01998148454231,"CA11",1922,"No",168
"CACYBP",0.379942304428984,0.572014456955784,0.560825908314527,1.01995012797265,"CACYBP",1923,"No",1610
"ZBTB11",0.167826234515527,0.213682935177212,0.209507833123868,1.01992814297725,"ZBTB11",1924,"No",812
"RIC3",0.17512302732055,0.224588091616629,0.220200425595976,1.01992578356186,"RIC3",1925,"No",844
"BLOC1S6",0.191922620057696,0.250498220759459,0.245622499679444,1.01985046600526,"BLOC1S6",1926,"No",915
"UBN1",0.164941455964704,0.209381687848322,0.205360320644501,1.01958200684143,"UBN1",1927,"No",803
"THEM4",0.232309519769218,0.313131070508472,0.307144106624279,1.01949236125675,"THEM4",1928,"No",1072
"ERBIN",0.386899711522145,0.585177979926941,0.57399213989196,1.01948779305075,"ERBIN",1929,"No",1610
"CD28",0.197013405735619,0.258361750838587,0.253440590910791,1.01941741025031,"CD28",1930,"No",930
"CDK8",0.028169014084507,0.0324718166432404,0.0318556111511072,1.01934370334979,"CDK8",1931,"No",153
"RIN3",0.116918377736297,0.145356964993157,0.142614371456652,1.01923083563384,"RIN3",1932,"No",588
"RRP12",0.0261326998133379,0.029866864261498,0.0293087259378392,1.01904341815617,"RRP12",1933,"No",144
"ADAT1",0.0717800780587137,0.0863267187680183,0.0847156515499346,1.01901735026064,"ADAT1",1934,"No",371
"FAM102A",0.238588155438656,0.322563654693357,0.316568420917372,1.01893819275659,"FAM102A",1935,"No",1101
"LYRM2",0.18615306295605,0.241138847579296,0.23665770136219,1.01893513792839,"LYRM2",1936,"No",886
"NCKAP5L",0.0251145426777533,0.0285612776109457,0.0280306397657258,1.01893063624858,"NCKAP5L",1937,"No",138
"SAT2",0.218225012726964,0.291134187649883,0.285726533464432,1.01892597834681,"SAT2",1938,"No",1044
"A1BG",0.147972170371627,0.186179271458916,0.182723776974173,1.01891102812107,"A1BG",1939,"No",733
"NOMO3",0.0210419141354149,0.0233181946108636,0.0228862426371937,1.01887387023363,"NOMO3",1940,"No",117
"DYNC2H1",0.0220600712709995,0.0246320758205652,0.024175804456514,1.0188730581798,"DYNC2H1",1941,"No",121
"NUFIP2",0.315289326319362,0.450473936133508,0.442137325102065,1.01885525278715,"NUFIP2",1942,"No",1365
"ZNF519",0.0230782284065841,0.0259438833904794,0.0254637631231863,1.0188550398058,"ZNF519",1943,"No",127
"AHCY",0.0475139996606143,0.0561262865062842,0.0550889898366471,1.01882947341589,"AHCY",1944,"No",251
"TKTL1",0.0200237569998303,0.0220022397613747,0.021596161663674,1.01880325328291,"TKTL1",1945,"No",111
"PBRM1",0.249448498218225,0.339326325122063,0.333064738248717,1.01879990930974,"PBRM1",1946,"No",1131
"ASPHD2",0.0190055998642457,0.0206842112720985,0.0203058733399961,1.01863194583004,"ASPHD2",1947,"No",106
"PCNX1",0.30375021211607,0.429783964750892,0.421938637358217,1.01859352687344,"PCNX1",1948,"No",1349
"GNA13",0.160699134566435,0.203125919817649,0.199433015635882,1.01851701519927,"GNA13",1949,"No",791
"PXK",0.0739860851858137,0.0892298144702967,0.0876091792263915,1.01849846395338,"PXK",1950,"No",383
"FUBP3",0.0692346852197522,0.0827821195570847,0.0812851962637054,1.01841569390473,"FUBP3",1951,"No",366
"DNASE1",0.0761920923129136,0.0921231755857949,0.090458113821256,1.01840699185735,"DNASE1",1952,"No",402
"ZNF684",0.0179874427286611,0.019364109143035,0.0190161561873403,1.01829775440771,"ZNF684",1953,"No",101
"SERTAD3",0.0573561853045987,0.067992805391556,0.0667752349133235,1.01823386289562,"SERTAD3",1954,"No",302
"CYLD",0.670626166638384,1.26131795475987,1.23881874356008,1.01816182659227,"CYLD",1955,"No",2305
"SMAP2",0.568301374512133,0.990115189538161,0.972473359428351,1.0181411962999,"SMAP2",1956,"No",2095
"AEN",0.0464958425250297,0.0548642462912664,0.0538908221348402,1.01806289304681,"AEN",1957,"No",244
"SESN1",0.100458170711013,0.123647108441799,0.121458118678358,1.01802258908058,"SESN1",1958,"No",514
"FAM210A",0.0553198710334295,0.0655067416909539,0.0643477920758069,1.01801071299824,"FAM210A",1959,"No",291
"PLIN3",0.0726285423383676,0.0873922240120801,0.0858479299420557,1.01798871645556,"PLIN3",1960,"No",378
"IGF2R",0.204649584252503,0.26972040077927,0.264961707190552,1.01795992952784,"IGF2R",1961,"No",967
"MIA3",0.272526726624809,0.37649729752895,0.369878788117926,1.01789372525171,"MIA3",1962,"No",1221
"OBSCN",0.0439504496860682,0.0518697952361353,0.0509603407590124,1.01784631859947,"OBSCN",1963,"No",239
"USP15",0.606821652808417,1.08893512721608,1.06985558092334,1.01783375871749,"USP15",1964,"No",2218
"BORCS5",0.153741727473273,0.193603189903125,0.190215251816098,1.01781107484642,"BORCS5",1965,"No",757
"FUCA1",0.0488715425080604,0.0576926333600951,0.0566851832251505,1.01777272432802,"FUCA1",1966,"No",259
"PUS10",0.0335991854742915,0.039264657378834,0.0385838853459635,1.01764394712369,"PUS10",1967,"No",181
"PTEN",0.300865433565247,0.42423041179376,0.41696252096695,1.01743056140861,"PTEN",1968,"No",1328
"PYHIN1",0.509248260648227,0.84500101320344,0.830672143673235,1.01724972919743,"PYHIN1",1969,"No",1898
"CD82",0.136433056168335,0.171131673937653,0.168233138357372,1.01722927842031,"CD82",1970,"No",677
"ATXN2",0.177838113015442,0.228042372294608,0.22418479392282,1.01720713659603,"ATXN2",1971,"No",858
"TAB3",0.0512472424910911,0.0605097306123031,0.0594862997109339,1.01720448080218,"TAB3",1972,"No",271
"SPICE1",0.0403868997115221,0.0475879018785908,0.0467871815885703,1.01711409541746,"SPICE1",1973,"No",215
"TBL1XR1",0.295095876463601,0.414091695660179,0.407130331686691,1.01709861297892,"TBL1XR1",1974,"No",1309
"DNASE1L1",0.025284235533684,0.0287224455033064,0.0282438896769856,1.01694369408017,"DNASE1L1",1975,"No",137
"ITGB3BP",0.0873918208043441,0.10658404824945,0.104820820439425,1.0168213509743,"ITGB3BP",1976,"No",443
"LRRFIP2",0.111488206346513,0.137771936257694,0.135498539688103,1.01677801528212,"LRRFIP2",1977,"No",566
"FANCA",0.0242660783980994,0.027415130819598,0.0269628813901952,1.01677303782404,"FANCA",1978,"No",134
"SLC7A1",0.0242660783980994,0.027415130819598,0.0269628813901952,1.01677303782404,"SLC7A1",1979,"No",134
"GPR171",0.23281859833701,0.313063965220913,0.307908748726117,1.01674267625108,"GPR171",1980,"No",1071
"TMEM87B",0.0838282708297981,0.101932931807549,0.10025717510808,1.0167145812523,"TMEM87B",1981,"No",429
"TIGAR",0.0502290853555065,0.0592552937431721,0.0582834534504884,1.01667437729148,"TIGAR",1982,"No",268
"ZNF230",0.0232479212625148,0.0261057424961024,0.0256781882917155,1.0166504817057,"ZNF230",1983,"No",129
"TNRC6C",0.261326998133379,0.357697967222443,0.351852371225169,1.01661377462631,"TNRC6C",1984,"No",1190
"BTN2A2",0.0369930425929068,0.0434377998497532,0.0427288783441447,1.01659115645159,"BTN2A2",1985,"No",198
"PBX3",0.0369930425929068,0.0434377998497532,0.0427288783441447,1.01659115645159,"PBX3",1986,"No",196
"PPA1",0.574580010181571,1.0044928862059,0.988103389233237,1.0165868239612,"PPA1",1987,"No",2129
"ZBED5",0.107585270660105,0.132686853089187,0.130530199311481,1.01652225913301,"ZBED5",1988,"No",547
"ZNF652",0.260478533853725,0.356273837497377,0.350492822360283,1.01649396155438,"ZNF652",1989,"No",1171
"NEK8",0.0212116069913457,0.0234807449297491,0.0231012307638101,1.01642830937534,"NEK8",1990,"No",117
"TNIK",0.214152384184626,0.284069872905468,0.279480691807763,1.01642038692555,"TNIK",1991,"No",1006
"GMEB1",0.088240285083998,0.107623056985119,0.105901867596457,1.01625268210775,"GMEB1",1992,"No",450
"KIF5C",0.0337688783302223,0.0394229452159345,0.0387925035290964,1.01625163702995,"KIF5C",1993,"No",183
"INAFM1",0.0201934498557611,0.0221651356868914,0.0218112008166552,1.01622720698468,"INAFM1",1994,"No",113
"ZNF836",0.0546410996097064,0.0645630627843984,0.0635341952643849,1.01619391755467,"ZNF836",1995,"No",289
"DDX60",0.117088070592228,0.145147527374638,0.142840319605535,1.01615235652982,"DDX60",1996,"No",585
"MTMR6",0.0846767351094519,0.102977988659264,0.101341356664302,1.01614969494027,"MTMR6",1997,"No",437
"GYPC",0.73833361615476,1.45324345487282,1.4301522481011,1.01614597802602,"GYPC",1998,"No",2456
"GUF1",0.0536229424741218,0.0633155380478916,0.0623150217558187,1.01605578019363,"GUF1",1999,"No",283
"TOGARAM2",0.0191752927201765,0.0208474528042465,0.0205209074536928,1.01591281239831,"TOGARAM2",2000,"No",107
"CETN3",0.0649923638214831,0.0770719491949033,0.0758654452578474,1.01590320775098,"CETN3",2001,"No",342
"ZNHIT6",0.138808756151366,0.173872104118837,0.171157026519376,1.01586307997208,"ZNHIT6",2002,"No",685
"YWHAE",0.304598676395724,0.430116323127915,0.423410297311179,1.01583812642091,"YWHAE",2003,"No",1356
"DIS3",0.125912099100628,0.15692009885732,0.154496055370788,1.01569000244514,"DIS3",2004,"No",627
"EIF2AK4",0.0811131851349058,0.0983075182460145,0.0967928682339089,1.01564836376628,"EIF2AK4",2005,"No",421
"DHRS4L2",0.114882063465128,0.142095187208777,0.139912508919093,1.01560030841091,"DHRS4L2",2006,"No",586
"SLC35E1",0.0884099779399287,0.107762797266343,0.106117281896692,1.01550657291858,"SLC35E1",2007,"No",453
"AZI2",0.127099949092143,0.158486445711132,0.156067029601499,1.01550241659504,"AZI2",2008,"No",641
"MGA",0.148990327507212,0.186895195595497,0.184052974353915,1.01544240864109,"MGA",2009,"No",737
"RNF19A",0.341931104700492,0.497625394437964,0.490063155148954,1.01543115251485,"RNF19A",2010,"No",1467
"ZRANB3",0.0181571355845919,0.0195276962818141,0.0192310273670663,1.0154265764946,"ZRANB3",2011,"No",102
"ZSCAN21",0.0181571355845919,0.0195276962818141,0.0192310273670663,1.0154265764946,"ZSCAN21",2012,"No",102
"AIG1",0.0558289496012218,0.0659593135745417,0.0649580111161469,1.01541461077994,"AIG1",2013,"No",297
"GKAP1",0.0548107924656372,0.0647142080844534,0.0637375648976224,1.01532288201471,"GKAP1",2014,"No",289
"RASSF3",0.208213134227049,0.274528595435065,0.270389889829544,1.01530643622855,"RASSF3",2015,"No",979
"AP2A1",0.107245884948244,0.132080889462442,0.130099978404252,1.01522606754042,"AP2A1",2016,"No",550
"MTHFD2",0.0615985067028678,0.0727494470581903,0.0716594710133975,1.01521049526851,"MTHFD2",2017,"No",325
"NIPSNAP3A",0.0493806210758527,0.0581517717696755,0.0572840383219259,1.01514790983961,"NIPSNAP3A",2018,"No",262
"AGGF1",0.132869506193789,0.166151251977301,0.163679940287981,1.0150984395826,"AGGF1",2019,"No",666
"UFL1",0.180044120142542,0.230816902330068,0.227408329762794,1.01498877622834,"UFL1",2020,"No",866
"CES2",0.0593924995757679,0.0701311312200407,0.069098269423239,1.01494772308226,"CES2",2021,"No",312
"GCNT4",0.0395384354318683,0.046467675584585,0.045789066118271,1.01482033864943,"GCNT4",2022,"No",210
"HSBP1L1",0.0668589852367215,0.0793716157190652,0.0782232861767757,1.01468014958736,"HSBP1L1",2023,"No",348
"FBXO2",0.0234176141184456,0.0262675440006202,0.0258925334165821,1.01448334846207,"FBXO2",2024,"No",131
"CCDC77",0.0234176141184456,0.0262675440006202,0.0258925334165821,1.01448334846207,"CCDC77",2025,"No",129
"ME2",0.205667741388088,0.270320892301021,0.26650981328704,1.01429995753996,"ME2",2026,"No",967
"SNAP23",0.179025963006957,0.229145894268101,0.225919115304539,1.01428289482814,"SNAP23",2027,"No",876
"SMURF1",0.022399456982861,0.0249564276439685,0.0246053587400402,1.01426798558954,"SMURF1",2028,"No",123
"TLR1",0.0408959782793144,0.0480556804539519,0.047383483851004,1.0141863060357,"TLR1",2029,"No",216
"KRBA2",0.0213812998472764,0.0236432376475294,0.0233162020515769,1.01402610919348,"KRBA2",2030,"No",119
"RLF",0.0858645851009673,0.10430287168006,0.102861843114031,1.0140093597626,"RLF",2031,"No",445
"F11R",0.0627863566943832,0.0741291663311402,0.0731128130294402,1.0139011653305,"F11R",2032,"No",332
"FRA10AC1",0.150008484642797,0.187948489405255,0.185376670393964,1.01387347720631,"FRA10AC1",2033,"No",731
"ALYREF",0.114712370609197,0.141624989386997,0.139688595498026,1.01386221890246,"ALYREF",2034,"No",592
"SMG7",0.102833870694044,0.12621905539026,0.124494136802092,1.01385542028305,"SMG7",2035,"No",521
"CREB1",0.212116069913457,0.280185830381568,0.276359785470743,1.0138444343641,"CREB1",2036,"No",1006
"GLB1",0.0741557780417444,0.0890349499313916,0.0878271068782849,1.01375250871897,"GLB1",2037,"No",387
"SMC5",0.24622433395554,0.33260836582324,0.328117007717758,1.01368828192331,"SMC5",2038,"No",1125
"ACOT9",0.0974036993042593,0.119159924745308,0.117559502326948,1.01361372229962,"ACOT9",2039,"No",498
"C12orf65",0.157135584591889,0.197300144037323,0.194653691365782,1.01359569732777,"C12orf65",2040,"No",764
"PDZD8",0.0895978279314441,0.109078809716938,0.107619956558239,1.01355560070227,"PDZD8",2041,"No",459
"ZCWPW1",0.0266417783811302,0.0303491583153704,0.0299465602954225,1.01344388190083,"ZCWPW1",2042,"No",145
"HSPA5",0.787544544374682,1.59810009666621,1.57718405227246,1.01326163827462,"HSPA5",2043,"No",2585
"XXYLT1",0.0193449855761072,0.0210106367352892,0.0207359527275516,1.01324675125116,"XXYLT1",2044,"No",108
"SEC61A2",0.0193449855761072,0.0210106367352892,0.0207359527275516,1.01324675125116,"SEC61A2",2045,"No",108
"ZNF675",0.069404378075683,0.0825888678491248,0.0815114929192345,1.01321746040105,"ZNF675",2046,"No",362
"PDCD6IP",0.222637026981164,0.296317077495032,0.292485507025139,1.01310003531068,"PDCD6IP",2047,"No",1045
"FAM160B1",0.083149499406075,0.100688517530724,0.0993906275255993,1.01305847480227,"FAM160B1",2048,"No",432
"YME1L1",0.41676565416596,0.639922531121591,0.631691679845293,1.01302985544831,"YME1L1",2049,"No",1708
"PRUNE1",0.0298659426438147,0.034409978631142,0.0339682698769324,1.01300356938431,"PRUNE1",2050,"No",161
"RGL4",0.152553877481758,0.191081816725035,0.188674921381115,1.01275683766714,"RGL4",2051,"No",766
"GABPB2",0.143051077549635,0.178616419148957,0.176368286950752,1.0127468052056,"GABPB2",2052,"No",706
"PTCH2",0.024605464109961,0.027737985014266,0.0273902933803459,1.01269397260891,"PTCH2",2053,"No",134
"AGPS",0.0621075852706601,0.0731956252190999,0.0722789456283001,1.01268252577334,"AGPS",2054,"No",325
"TTC3",0.555574410317326,0.952995482114916,0.941099928739157,1.01264005342312,"TTC3",2055,"No",2027
"NLE1",0.0183268284405227,0.0196912258194881,0.019445937726825,1.01261384748366,"NLE1",2056,"No",103
"TSPAN18",0.0424232139826913,0.0497953490333209,0.0491779375767,1.01255464313968,"TSPAN18",2057,"No",225
"ATG7",0.0510775496351604,0.0600179323760723,0.0592854842664444,1.01235459436134,"ATG7",2058,"No",270
"C7orf25",0.0235873069743764,0.0264292879040329,0.0261067938079094,1.01235288019266,"C7orf25",2059,"No",129
"DDX58",0.129645341931105,0.161396971955982,0.159433774646425,1.01231355974549,"DDX58",2060,"No",656
"PSMD1",0.155438656032581,0.194775660399553,0.192425058385304,1.01221567520349,"PSMD1",2061,"No",763
"SIRPG",0.126251484812489,0.156834503614989,0.154944746400923,1.01219632971082,"SIRPG",2062,"No",629
"TES",0.39470558289496,0.596047999692173,0.588867473106035,1.01219379047762,"TES",2063,"No",1609
"CEP295",0.0631257424062447,0.0744258696240454,0.0735324635912024,1.01214981777042,"CEP295",2064,"No",330
"ZNF540",0.0225691498387918,0.0251185171540124,0.0248200555054187,1.01202501938517,"ZNF540",2065,"No",124
"CMTM8",0.0400475139996606,0.0469363181765243,0.0463888645140957,1.0118014025168,"CMTM8",2066,"No",212
"NUDCD1",0.0488715425080604,0.0573531900471283,0.0566851832251505,1.01178450494416,"NUDCD1",2067,"No",260
"ANXA4",0.100627863566944,0.123103814817516,0.121674701852813,1.01174535826215,"ANXA4",2068,"No",513
"KIAA1586",0.0544714067537757,0.0640724165702712,0.0633308602424219,1.0117092413558,"KIAA1586",2069,"No",286
"PISD",0.0500593924995758,0.0587631499003095,0.0580833962608959,1.01170306289186,"PISD",2070,"No",267
"AXIN2",0.0215509927032072,0.0238056727642044,0.0235311507067339,1.01166632524231,"AXIN2",2071,"No",120
"MAPK1",0.296792805022909,0.414784348950264,0.41000631010782,1.01165357391985,"MAPK1",2072,"No",1326
"TTC16",0.0738163923298829,0.0884062914691954,0.0873915443930794,1.01161150181249,"TTC16",2073,"No",383
"RASGEF1A",0.03325979976243,0.0386084655883509,0.0381662413495927,1.01158679039698,"RASGEF1A",2074,"No",177
"MCUR1",0.0641438995418293,0.0756540403892041,0.0748005017451812,1.01141086789672,"MCUR1",2075,"No",343
"ENC1",0.0453079925335143,0.053106375762653,0.0525153961124333,1.0112534550621,"ENC1",2076,"No",239
"PSEN1",0.0951976921771593,0.1160207221128,0.114733594709713,1.01121840038519,"PSEN1",2077,"No",488
"POU2F1",0.0828101136942135,0.100065964785679,0.0989575426923667,1.01120098643475,"POU2F1",2078,"No",425
"UBE3A",0.27490242660784,0.377912095874972,0.373730286669339,1.01118937735258,"UBE3A",2079,"No",1235
"DNAJC4",0.127099949092143,0.157807559085199,0.156067029601499,1.01115244833033,"DNAJC4",2080,"No",642
"ATXN7L3B",0.296453419311047,0.413967392475148,0.409430091164022,1.01108199277251,"ATXN7L3B",2081,"No",1312
"ACIN1",0.267435940946886,0.365668865761655,0.361662449497972,1.0110777778264,"ACIN1",2082,"No",1210
"MLKL",0.0724588494824368,0.0865682402021386,0.0856230390089784,1.01103909886989,"MLKL",2083,"No",380
